,faithfulness,complexity
zero,0.6142093757791718,0.9168085008719199
median,0.42372833201438836,0.8889513747698496
low_energy_mask,0.6164584348118144,0.9168084836552159
noisy_silence,0.6328825027616757,0.8326020184448987
